model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude_code,doi_10_1016__j_proeng_2012_03_043,0.7748,0.7369,0.7550,12,16,10.33,4,4,4,0.0000,248137,7631,0.453868,,,,1.00,0,35,0.0000,0.8497,0.7738,0.8100,0.6458,0.8611,0.7381,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_1038__ncomms10602,0.7618,0.7786,0.7700,19,19,15.00,1,1,1,0.0000,506548,23301,1.352004,,,,1.00,0,41,0.0000,0.8235,0.8571,0.8400,0.7895,0.7895,0.7895,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41467_019_08460_2,0.9225,0.6052,0.7082,18,11,7.00,5,5,5,0.8000,250085,16491,0.886513,,,,1.00,0,39,0.0000,0.8451,0.5000,0.6283,0.6364,0.3889,0.4828,1.0000,0.2667,0.4211,1.0000,0.8261,0.9048,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41467_019_10533_1,0.9211,1.0000,0.9575,18,18,18.00,7,7,7,1.0000,366452,18844,1.103499,,,,1.00,0,53,0.0000,0.9222,1.0000,0.9595,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000,0.8889,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41598_017_16509_9,0.7631,0.8097,0.7825,16,19,13.12,3,3,3,1.3333,226283,31835,1.309219,,,,1.00,0,46,0.0000,0.7008,0.8389,0.7637,0.6904,0.8198,0.7495,0.6000,0.5000,0.5455,0.8636,0.8261,0.8444,1.0000,1.0000,1.0000
claude_code,doi_10_1038__s41598_019_43329_w,0.8710,0.7767,0.7726,44,44,37.50,5,5,5,0.0000,329351,28711,1.459093,,,,1.00,0,158,0.0000,0.7420,0.8147,0.7767,0.8523,0.8523,0.8523,1.0000,0.1290,0.2286,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_1155__2019__2157592,0.9788,0.9871,0.9829,18,17,17.00,12,12,12,0.0000,322685,22641,1.011561,,,,1.00,0,87,0.0000,0.9576,0.9741,0.9658,1.0000,0.9444,0.9714,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_3390__coatings9010016,0.4956,0.4211,0.4426,43,17,6.00,3,2,2,4.0000,695659,20716,1.169571,,,,1.00,0,63,0.0000,0.3412,0.2871,0.3118,0.3529,0.1395,0.2000,0.5000,0.2500,0.3333,0.5000,0.7000,0.5833,1.0000,0.6667,0.8000
claude_code,doi_10_3390__e16020870,0.9577,0.9696,0.9636,47,47,44.40,6,6,6,0.0000,316093,17130,0.860492,,,,1.00,0,150,0.0000,0.9153,0.9393,0.9271,0.9447,0.9447,0.9447,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude_code,doi_10_3390__e18050189,0.9700,0.9569,0.9634,10,10,8.90,1,1,1,0.0000,261762,12104,0.714171,,,,1.00,0,29,0.0000,0.9400,0.9139,0.9268,0.8900,0.8900,0.8900,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
