model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-opus-4-6,doi_10_1016__j_proeng_2012_03_043,1.0000,1.0000,1.0000,12,12,12.00,4,4,4,0.0000,12757,1205,0.093910,,,,1.00,0,35,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__ncomms10602,0.8010,0.8194,0.8100,19,19,17.00,1,1,1,0.0000,21433,1738,0.150615,,,,1.00,0,41,0.0000,0.9020,0.9388,0.9200,0.8947,0.8947,0.8947,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__s41467_019_08460_2,0.9689,0.8508,0.9009,18,18,18.00,5,5,5,0.0000,20399,2434,0.162845,,,,1.00,0,54,0.0000,0.9712,0.8417,0.9018,1.0000,1.0000,1.0000,0.8889,0.5333,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__s41467_019_10533_1,1.0000,1.0000,1.0000,18,18,18.00,7,7,7,0.0000,22099,1811,0.155770,,,,1.00,0,53,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__s41598_017_16509_9,0.8822,0.9720,0.9214,16,19,15.20,3,3,3,0.3333,16722,2233,0.139435,,,,1.00,0,46,0.0000,0.7645,0.9614,0.8517,0.8000,0.9500,0.8686,1.0000,1.0000,1.0000,1.0000,0.9565,0.9778,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1038__s41598_019_43329_w,0.8773,0.9808,0.9233,44,44,43.50,5,5,5,0.0000,28878,4517,0.257315,,,,1.00,0,143,0.0000,0.7639,0.9615,0.8514,0.9886,0.9886,0.9886,0.9688,1.0000,0.9841,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_1155__2019__2157592,0.8458,0.9871,0.9058,18,18,17.00,12,12,12,1.3333,14999,2703,0.142570,,,,1.00,0,88,0.0000,0.8370,0.9741,0.9004,0.9444,0.9444,0.9444,1.0000,1.0000,1.0000,0.6364,1.0000,0.7778,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__coatings9010016,0.5593,0.5575,0.5355,43,34,22.00,3,2,2,3.0000,69428,9449,0.583365,,,,3.00,0,84,0.0000,0.4400,0.4400,0.4400,0.6471,0.5116,0.5714,0.5000,0.2500,0.3333,0.5714,1.0000,0.7273,1.0000,0.6667,0.8000
claude-opus-4-6,doi_10_3390__e16020870,1.0000,1.0000,1.0000,47,47,47.00,6,6,6,0.0000,20433,3657,0.193590,,,,1.00,0,156,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-opus-4-6,doi_10_3390__e18050189,1.0000,1.0000,1.0000,10,10,10.00,1,1,1,0.0000,22187,937,0.134360,,,,1.00,0,30,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
