model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
knowmat2,doi_10_1016__j_proeng_2012_03_043,0.9176,0.8804,0.8981,12,16,7.60,4,4,4,0.0000,0,0,0.000000,,,,1.00,0,27,0.0000,0.8353,0.7607,0.7963,0.4750,0.6333,0.5429,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
knowmat2,doi_10_1038__ncomms10602,0.6141,0.6721,0.6293,19,33,7.67,1,2,1,1.0000,0,0,0.000000,,,,1.00,0,42,0.0000,0.3782,0.4014,0.3894,0.2323,0.4035,0.2949,1.0000,1.0000,1.0000,1.0000,0.8571,0.9231,0.5000,1.0000,0.6667
knowmat2,doi_10_1038__s41467_019_08460_2,0.9231,0.3125,0.3942,18,3,1.00,5,1,1,0.0000,0,0,0.000000,,,,1.00,0,5,0.0000,0.8462,0.1250,0.2178,0.3333,0.0556,0.0952,1.0000,0.1333,0.2353,1.0000,1.0000,1.0000,1.0000,0.2000,0.3333
knowmat2,doi_10_1038__s41467_019_10533_1,0.8764,0.7536,0.7860,18,36,16.00,7,7,7,1.0000,0,0,0.000000,,,,1.00,0,63,0.0000,0.7528,0.8072,0.7791,0.4444,0.8889,0.5926,1.0000,0.3333,0.5000,1.0000,0.7500,0.8571,1.0000,1.0000,1.0000
knowmat2,doi_10_1038__s41598_017_16509_9,0.2208,0.2151,0.1678,16,26,0.00,3,8,3,6.3333,0,0,0.000000,,,,1.00,0,60,0.0000,0.0625,0.0606,0.0615,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.1739,0.2759,0.3750,1.0000,0.5455
knowmat2,doi_10_1038__s41598_019_43329_w,0.6188,0.5493,0.5556,44,74,25.00,5,5,5,2.0000,0,0,0.000000,,,,1.00,0,95,0.0000,0.4710,0.4545,0.4626,0.3378,0.5682,0.4237,0.8889,0.2581,0.4000,0.5000,0.6667,0.5714,1.0000,1.0000,1.0000
knowmat2,doi_10_1155__2019__2157592,0.4262,0.1592,0.1808,18,3,0.00,12,1,1,1.0000,0,0,0.000000,,,,1.00,0,3,0.0000,0.2857,0.0267,0.0488,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,0.6667,0.6667,1.0000,0.0833,0.1538
knowmat2,doi_10_3390__coatings9010016,0.2417,0.0885,0.1281,43,5,0.00,3,1,1,5.0000,0,0,0.000000,,,,1.00,0,15,0.0000,0.0500,0.0104,0.0172,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.1667,0.2222,1.0000,0.3333,0.5000
knowmat2,doi_10_3390__e16020870,0.6878,0.6254,0.6507,47,62,34.20,6,6,6,0.3333,0,0,0.000000,,,,1.00,0,109,0.0000,0.7156,0.5508,0.6225,0.5516,0.7277,0.6275,0.0000,0.0000,0.0000,0.9000,1.0000,0.9474,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__e18050189,0.3386,0.4472,0.3769,10,34,0.75,1,2,1,0.0000,0,0,0.000000,,,,1.00,0,48,0.0000,0.1273,0.1944,0.1538,0.0221,0.0750,0.0341,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.5000,1.0000,0.6667
knowmat2,doi_10_3390__e21010015,0.5804,0.5121,0.5403,68,111,33.50,6,6,6,0.0000,0,0,0.000000,,,,1.00,0,130,0.0000,0.4608,0.3242,0.3806,0.3018,0.4926,0.3743,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__e21020114,0.6064,0.7082,0.6477,98,122,82.70,7,11,7,1.0000,0,0,0.000000,,,,1.00,0,205,0.0000,0.7219,0.7164,0.7192,0.6779,0.8439,0.7518,0.0000,0.0000,0.0000,0.7500,1.0000,0.8571,0.6364,1.0000,0.7778
knowmat2,doi_10_3390__e21020122,0.4738,0.3314,0.3349,31,25,5.00,8,1,1,1.0000,0,0,0.000000,,,,1.00,0,35,0.0000,0.3810,0.2254,0.2832,0.2000,0.1613,0.1786,0.0000,0.0000,0.0000,0.6667,1.0000,0.8000,1.0000,0.1250,0.2222
knowmat2,doi_10_3390__e21020169,0.5628,0.2992,0.3790,63,55,9.70,7,3,3,4.6667,0,0,0.000000,,,,1.00,0,84,0.0000,0.4322,0.2290,0.2994,0.1764,0.1540,0.1644,0.5000,0.1111,0.1818,0.6087,0.5185,0.5600,1.0000,0.4286,0.6000
knowmat2,doi_10_3390__e21030288,0.5148,0.5086,0.5054,43,33,5.00,5,5,5,0.8000,0,0,0.000000,,,,1.00,0,83,0.0000,0.3538,0.2840,0.3151,0.1515,0.1163,0.1316,0.2000,0.1111,0.1429,0.7895,1.0000,0.8824,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__e21050448,0.3852,0.1693,0.2205,20,14,5.00,5,1,1,3.0000,0,0,0.000000,,,,1.00,0,19,0.0000,0.3704,0.1786,0.2410,0.3571,0.2500,0.2941,0.0000,0.0000,0.0000,0.2500,0.2500,0.2500,1.0000,0.2000,0.3333
knowmat2,doi_10_3390__ma12071136,0.5797,0.3801,0.4491,53,38,11.00,5,5,5,4.0000,0,0,0.000000,,,,1.00,0,51,0.0000,0.5176,0.2953,0.3761,0.2895,0.2075,0.2418,0.2500,0.1053,0.1481,0.6667,0.3333,0.4444,1.0000,1.0000,1.0000
knowmat2,doi_10_3390__met9030351,0.4536,0.2782,0.3433,14,12,2.75,4,2,2,2.0000,0,0,0.000000,,,,1.00,0,22,0.0000,0.3672,0.2350,0.2866,0.2292,0.1964,0.2115,0.0000,0.0000,0.0000,0.6000,0.4286,0.5000,1.0000,0.5000,0.6667
knowmat2,OVERALL,0.5904,0.4348,0.4965,635,702,246.87,94,71,60,1.6333,0,0,0.000000,0.0,0.0,0.0,1.00,0,1096,0.0000,0.5131,0.3673,0.4281,0.3517,0.3888,0.3693,0.3492,0.1325,0.1921,0.7736,0.6777,0.7225,0.8451,0.6383,0.7273
