model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-haiku-4-5,doi_10_1016__j_proeng_2012_03_043,0.4867,0.7369,0.5778,12,28,10.33,4,4,4,2.0000,23328,4083,0.043743,,,,2.00,0,67,0.0000,0.4333,0.7738,0.5556,0.3690,0.8611,0.5167,0.0000,0.0000,0.0000,0.6000,1.0000,0.7500,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__ncomms10602,0.4861,0.6003,0.5285,19,32,9.33,1,1,1,1.0000,91240,10616,0.144320,,,,4.00,0,60,0.0000,0.3293,0.5578,0.4141,0.2917,0.4912,0.3660,0.0000,0.0000,0.0000,0.8571,0.8571,0.8571,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41467_019_08460_2,0.4539,0.4572,0.4553,18,31,4.78,5,5,5,3.2000,17562,3237,0.033747,,,,1.00,0,64,0.0000,0.2932,0.3127,0.3026,0.1540,0.2653,0.1949,0.6429,0.6000,0.6207,0.3043,0.3043,0.3043,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41467_019_10533_1,0.8396,0.7596,0.7935,18,21,15.00,7,7,7,1.0000,41563,3706,0.060093,,,,2.00,0,60,0.0000,0.8293,0.8193,0.8242,0.7143,0.8333,0.7692,0.5000,0.3333,0.4000,1.0000,0.7500,0.8571,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_017_16509_9,0.4377,0.6129,0.4963,16,34,5.83,3,5,3,3.3333,32045,6682,0.065455,,,,2.00,0,71,0.0000,0.3566,0.5997,0.4473,0.1716,0.3646,0.2333,0.1667,0.3333,0.2222,0.7222,0.5652,0.6341,0.6000,1.0000,0.7500
claude-haiku-4-5,doi_10_1038__s41598_019_43329_w,0.6018,0.6696,0.6311,44,59,34.50,5,5,5,0.0000,131466,19918,0.231056,,,,4.00,0,146,0.0000,0.4519,0.5909,0.5121,0.5847,0.7841,0.6699,0.1724,0.1613,0.1667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1155__2019__2157592,0.6099,0.8317,0.6990,18,35,13.75,12,12,12,1.3333,102803,19693,0.201268,,,,5.00,0,105,0.0000,0.6652,0.9634,0.7870,0.3929,0.7639,0.5189,0.0000,0.0000,0.0000,0.6364,1.0000,0.7778,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__coatings9010016,0.3656,0.4764,0.3689,43,76,8.00,3,12,3,1.6667,105121,26119,0.235716,,,,4.00,0,184,0.0000,0.1789,0.3208,0.2297,0.1053,0.1860,0.1345,0.5000,0.2500,0.3333,0.8182,0.6429,0.7200,0.2500,1.0000,0.4000
claude-haiku-4-5,doi_10_3390__e16020870,0.9092,0.9482,0.9276,47,49,45.20,6,6,6,0.0000,16644,3585,0.034569,,,,1.00,0,148,0.0000,0.8646,0.8963,0.8802,0.9224,0.9617,0.9417,0.8462,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e18050189,0.8418,0.9336,0.8776,10,10,7.22,1,1,1,2.0000,20001,1134,0.025671,,,,1.00,0,29,0.0000,0.8437,0.8671,0.8553,0.7217,0.7217,0.7217,1.0000,1.0000,1.0000,0.6000,1.0000,0.7500,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21010015,0.8774,0.8902,0.8837,68,72,51.67,6,6,6,0.0000,46894,11251,0.103149,,,,2.00,0,210,0.0000,0.7548,0.7804,0.7674,0.7176,0.7598,0.7381,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020114,0.6422,0.6698,0.6554,98,99,46.75,7,7,7,0.0000,20873,5783,0.049788,,,,1.00,0,229,0.0000,0.4844,0.5324,0.5073,0.4722,0.4770,0.4746,0.3333,0.3571,0.3448,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020122,0.5874,0.6935,0.6347,31,29,23.55,8,8,8,1.0000,27031,4767,0.050866,,,,2.00,0,91,0.0000,0.6349,0.7870,0.7028,0.8121,0.7597,0.7850,0.0000,0.0000,0.0000,0.6000,0.7500,0.6667,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21020169,0.6873,0.6932,0.6891,63,67,31.22,7,7,7,1.4286,74882,19467,0.172217,,,,3.00,0,235,0.0000,0.6127,0.6665,0.6385,0.4659,0.4955,0.4803,0.2778,0.2778,0.2778,0.9464,0.8413,0.8908,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e21030288,0.4009,0.4843,0.4325,43,52,8.50,5,9,5,0.0000,251203,30328,0.402843,,,,7.00,0,140,0.0000,0.2351,0.2685,0.2507,0.1635,0.1977,0.1789,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.5556,1.0000,0.7143
claude-haiku-4-5,doi_10_3390__e21050448,0.3351,0.6321,0.4342,20,43,8.78,5,11,5,1.8000,131610,20544,0.234330,,,,6.00,0,133,0.0000,0.2730,0.5891,0.3731,0.2041,0.4388,0.2786,0.0000,0.0000,0.0000,0.6522,0.9375,0.7692,0.4545,1.0000,0.6250
claude-haiku-4-5,doi_10_3390__ma12071136,0.7213,0.6335,0.6660,53,47,33.62,5,5,5,4.0000,82353,11153,0.138118,,,,3.00,0,104,0.0000,0.6593,0.6284,0.6435,0.7154,0.6344,0.6725,0.7222,0.6842,0.7027,0.6667,0.3333,0.4444,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__met10111466,0.6478,0.6274,0.6245,39,35,16.00,7,4,4,2.2500,86045,14103,0.156560,,,,4.00,0,77,0.0000,0.6346,0.6055,0.6197,0.4571,0.4103,0.4324,0.2941,0.4167,0.3448,0.6818,0.8824,0.7692,1.0000,0.5714,0.7273
claude-haiku-4-5,doi_10_3390__met9030351,0.6299,0.6502,0.6347,14,22,6.55,4,3,3,0.0000,408691,31103,0.564206,,,,14.00,0,54,0.0000,0.5599,0.6754,0.6122,0.2977,0.4679,0.3639,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.7500,0.8571
