model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-haiku-4-5,doi_10_1016__j_proeng_2012_03_043,0.7790,0.9185,0.8348,12,28,10.87,4,4,4,0.0000,25732,3292,0.042192,,,,2.00,0,55,0.0000,0.5579,0.8369,0.6695,0.3881,0.9056,0.5433,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__ncomms10602,0.4708,0.7381,0.5559,19,31,6.33,1,3,1,0.0000,43465,5979,0.073360,,,,2.00,0,76,0.0000,0.2917,0.4762,0.3618,0.2043,0.3333,0.2533,0.5000,1.0000,0.6667,1.0000,1.0000,1.0000,0.3333,1.0000,0.5000
claude-haiku-4-5,doi_10_1038__s41467_019_08460_2,0.6046,0.6515,0.6266,18,43,9.90,5,5,5,2.4000,18958,3764,0.037778,,,,1.00,0,63,0.0000,0.4878,0.5325,0.5092,0.2302,0.5500,0.3246,0.4667,0.4667,0.4667,0.7037,0.8261,0.7600,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41467_019_10533_1,0.7976,0.7657,0.7771,18,23,18.00,7,7,7,1.0000,44445,3861,0.063750,,,,2.00,0,70,0.0000,0.7753,0.8313,0.8023,0.7826,1.0000,0.8780,0.4000,0.3333,0.3636,1.0000,0.7500,0.8571,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_017_16509_9,0.6847,0.8146,0.7376,16,34,12.37,3,3,3,1.0000,56297,8924,0.100917,,,,3.00,0,60,0.0000,0.5715,0.8313,0.6774,0.3637,0.7729,0.4947,0.5000,0.5000,0.5000,0.8696,0.8696,0.8696,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_019_43329_w,0.5761,0.6696,0.6137,44,59,33.25,5,5,5,0.0000,188005,27646,0.326235,,,,5.00,0,153,0.0000,0.4005,0.5909,0.4774,0.5636,0.7557,0.6456,0.1724,0.1613,0.1667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1155__2019__2157592,0.4129,0.5389,0.4612,18,37,5.00,12,11,11,1.6364,77263,13994,0.147233,,,,4.00,0,112,0.0000,0.3059,0.4643,0.3688,0.1351,0.2778,0.1818,0.0000,0.0000,0.0000,0.5500,0.8462,0.6667,1.0000,0.9167,0.9565
claude-haiku-4-5,doi_10_3390__coatings9010016,0.3531,0.4574,0.3886,43,50,8.00,3,6,3,2.6667,689258,87766,1.128088,,,,18.00,0,117,0.0000,0.2276,0.3113,0.2629,0.1600,0.1860,0.1720,0.3333,0.2500,0.2857,0.5714,0.5714,0.5714,0.5000,1.0000,0.6667
claude-haiku-4-5,doi_10_3390__e16020870,0.4736,0.5599,0.5067,47,48,29.20,6,6,6,2.0000,95544,15011,0.170599,,,,4.00,0,139,0.0000,0.4071,0.4199,0.4134,0.6083,0.6213,0.6147,0.0000,0.0000,0.0000,0.6000,1.0000,0.7500,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e18050189,0.7953,0.7461,0.7684,10,11,4.72,1,1,1,0.0000,21397,852,0.025657,,,,1.00,0,24,0.0000,0.5906,0.4921,0.5369,0.4288,0.4717,0.4492,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
