model_name,doi,overall_precision,overall_recall,overall_f1,num_target_items,num_extracted_items,num_matched_items,num_target_materials,num_extracted_materials,num_matched_materials,avg_process_edit_distance,input_tokens,output_tokens,cost_usd,elapsed_seconds,avg_paper_time,max_paper_time,avg_attempts,num_hallucinated,num_total_numbers,hallucination_rate,value_precision,value_recall,value_f1,measurement_precision,measurement_recall,measurement_f1,config_precision,config_recall,config_f1,process_precision,process_recall,process_f1,material_precision,material_recall,material_f1
claude-haiku-4-5,doi_10_1016__j_proeng_2012_03_043,0.5867,0.6881,0.6284,12,28,10.87,4,4,4,0.0000,11982,1576,0.019862,,,,1.00,0,55,0.0000,0.4733,0.6762,0.5569,0.3881,0.9056,0.5433,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__ncomms10602,0.6788,1.0000,0.7740,19,29,19.00,1,1,1,0.0000,68878,8179,0.109773,,,,3.00,0,62,0.0000,0.5976,1.0000,0.7481,0.6552,1.0000,0.7917,0.2000,1.0000,0.3333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41467_019_08460_2,0.7169,0.6388,0.6666,18,34,10.90,5,6,5,1.8000,18951,3283,0.035366,,,,1.00,0,62,0.0000,0.5991,0.5742,0.5864,0.3206,0.6056,0.4192,0.6154,0.5333,0.5714,1.0000,0.6087,0.7568,0.8333,1.0000,0.9091
claude-haiku-4-5,doi_10_1038__s41467_019_10533_1,0.8096,0.7717,0.7837,18,26,18.00,7,7,7,1.0000,21221,1969,0.031066,,,,1.00,0,72,0.0000,0.7692,0.8434,0.8046,0.6923,1.0000,0.8182,0.5000,0.3333,0.4000,1.0000,0.7500,0.8571,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_017_16509_9,0.6526,0.7686,0.7012,16,25,7.80,3,3,3,1.0000,15729,2347,0.027464,,,,1.00,0,43,0.0000,0.5674,0.7394,0.6421,0.3120,0.4875,0.3805,0.3000,0.5000,0.3750,0.8696,0.8696,0.8696,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1038__s41598_019_43329_w,0.4752,0.5048,0.4879,44,49,29.50,5,5,5,1.0000,93768,14179,0.164663,,,,3.00,0,117,0.0000,0.2765,0.3462,0.3075,0.6020,0.6705,0.6344,0.3571,0.3226,0.3390,0.6667,0.6667,0.6667,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_1155__2019__2157592,0.5903,0.7870,0.6570,18,27,13.00,12,10,10,1.2000,51672,9625,0.099797,,,,3.00,0,85,0.0000,0.5973,0.8241,0.6926,0.4815,0.7222,0.5778,0.0556,0.3333,0.0952,0.6667,1.0000,0.8000,1.0000,0.8333,0.9091
claude-haiku-4-5,doi_10_3390__coatings9010016,0.4269,0.4384,0.3800,43,60,8.00,3,9,3,2.3333,138591,25377,0.265476,,,,5.00,0,149,0.0000,0.2038,0.3019,0.2433,0.1333,0.1860,0.1553,0.5000,0.2500,0.3333,1.0000,0.5000,0.6667,0.3333,1.0000,0.5000
claude-haiku-4-5,doi_10_3390__e16020870,0.8834,0.8958,0.8886,47,50,41.20,6,6,6,0.0000,39403,6637,0.072588,,,,2.00,0,149,0.0000,0.8129,0.7916,0.8021,0.8240,0.8766,0.8495,0.8462,1.0000,0.9167,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
claude-haiku-4-5,doi_10_3390__e18050189,0.9589,0.8697,0.9095,10,10,7.37,1,1,1,0.0000,21390,931,0.026045,,,,1.00,0,23,0.0000,0.9178,0.7394,0.8190,0.7367,0.7367,0.7367,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
