method	overall_precision	overall_recall	overall_f1	meas_f1	process_f1	material_f1	config_f1	avg_attempts	cost_usd
KnowMat2	0.5245	0.4258	0.4288 +/- 0.0586	0.2666	0.6734	0.6511	0.1745	1.00	0
Claude Haiku 4.5	0.6417	0.6862	0.6510 +/- 0.0130	0.5089	0.8426	0.9380	0.3840	2.21	1.7177
GPT 5 Mini Medium	0.6723	0.7125	0.6822 +/- 0.0286	0.5649	0.8235	0.9274	0.4353	2.54	0.550543
Gemini 3 Flash	0.7404	0.7560	0.7376 +/- 0.0489	0.6092	0.8560	0.9692	0.5166	2.58	1.73078
Claude Opus 4.6	0.7466	0.7270	0.7231 +/- 0.0401	0.6196	0.8611	0.9081	0.5388	1.53	5.37406
GPT 5.2 High	0.7026	0.7584	0.7171 +/- 0.0410	0.6249	0.8367	0.9703	0.4881	1.39	3.36168
Gemini 3.1 Pro	0.7927	0.7688	0.7708 +/- 0.0327	0.7062	0.8343	0.9642	0.5969	1.51	4.17163
Claude Code (Opus 4.6)	0.8060	0.7746	0.7766 +/- 0.0070	0.7071	0.8763	0.9434	0.5550	1.26	26.1145
Codex (GPT 5.2 Codex High)	0.7573	0.7246	0.7268 +/- 0.0085	0.6708	0.8234	0.9508	0.5189	1.49	4.17361
Gemini CLI (Gemini-3.1 Pro Preview)	0.8021	0.8082	0.7958 +/- 0.0350	0.7395	0.8354	0.9777	0.6834	2.47	6.45507
